"simplified";"traditional";"pinyin";"description"
"跛手";"跛手";"bai1 sau2";"手受伤影响正常功能"
"闭翳";"閉翳";"bai3 ai3";"郁闷，忧愁：失恋咡啰，冇使咁～哇！"
"弊稍";"弊稍";"bai4 saau1";"糟糕：～哦，我出来冇记得带锁匙了。"
"北佬";"北佬";"bak1 lau2";"北方人"
"北风";"北風";"bak1 fung1";"北面吹来的风，刮北风通常天气比较干燥寒冷：翻～"
"笨𫵱";"笨𫵱";"ban4 cot4";"笨蛋，骂人的话：只嘢够～嘅，照抄都抄错！"
"笨𫵱兼加箍";"笨𫵱兼加箍";"ban4 cot4 gim1 gaa1 ku1";"形容人极度愚蠢的粗口"
"崩牙";"崩牙";"bang1 ngaa4";"牙齿脱落，缺牙"
"崩嘴";"崩嘴";"bang1 zui2";"唇裂，兔唇"
"崩庄";"崩莊";"bang1 zong1";"庄家输太多而无法继续做庄。"
"𧌇𧋊";"𧌇𧋊";"bang1 saa1";"指大型的蛾蝶类昆虫"
"䖢";"䖢";"bang1 saa1";"同“𧌇𧋊”"
"凭到";"憑到";"bang4 dau3";"投靠、攀附（有权势的人）：畀佢～老板正得咁风气。"
"凭风";"憑風";"bang4 fung1";"攀附权势"
"笔盖";"筆蓋";"bat1 goi3";"笔帽"
"笔水";"筆水";"bat1 sui2";"墨水"
"笔头";"筆頭";"bat1 tau4";"笔尖"
"笔嘴";"筆嘴";"bat1 zui2";"笔尖"
"不知乐乎";"不知樂乎";"bat1 zi1 lok4 fu4";"不亦乐乎，忘乎所以：佢耍堆烂泥耍得～。"
"𢳂饭";"𢳂飯";"bat1 faan4";"舀饭。"
"煲饭";"煲飯";"bau1 faan4";"煮饭"
"煲羹";"煲羹";"bau1 gaang1";"煲汤"
"煲粥";"煲粥";"bau1 zuk1";"煮粥"
"煲胆";"煲膽";"bau1 daam2";"电饭煲内胆"
"煲电话粥";"煲電話粥";"bau1 din4 waa4 zuk1";"比喻长时间打电话"
"煲焦";"煲焦";"bau1 zaau1";"把水煮干：嗰煲羹着～了"
"煲老藕";"煲老藕";"bau1 lau2 ngau2";"与年纪大的异性发生恋情"
"报牌";"報牌";"bau3 paai4";"牌戏中宣布自己的牌将出完：佢～了哇，出最大嘅顶喎！"
"裨肠";"裨腸";"be1 coeng4";"阑尾：谂坏啲～。"
"裨手指";"裨手指";"be1 sau2 zi2";"长在正常手指上的多余手指"
"裨牙";"裨牙";"be1 ngaa4";"多长出来的牙齿"
"裨荫";"裨蔭";"be1 jam3";"蝉"
"肠";"腸";"be1 coeng4";"阑尾：谂坏啲～。"
