"simplified";"traditional";"pinyin";"description"
"老火靓汤";"老火靚湯";"lau2 fo2 leng3 tong1";"用慢火煲煮的汤。"
"三年冇发市，发市食三年";"三年冇發市，發市食三年";"slaam1 nin4 mau2 faat3 si2,faat3 si2 sik4 slaam1 nin4";"意指长远投资,虽然前期可能会很漫长，但得到的回报很丰厚。"
"手当脚使";"手當腳使";"sau2 dong3 goek3 sai2";"指人的手脚不够灵巧，笨手笨脚。"
"好耍嚟啊";"好耍嚟啊";"hau2 saa2 lai4 aa3";"猜码时的常用开头。"
"好地地";"好地地";"hau2 di4 di4";"好端端，无端。"
"好死冇死";"好死冇死";"hau2 sli2 mau2 sli2";"对别人应为而不为或不应为而为之的怨言。"
"好痛";"好痛";"hau2 tung3";"形容小孩子招人喜爱，惹人疼爱：佢只孙仔~哦。"
"咸带";"鹹帶";"haam4 daai3";"色情录像带。"
"脓屁";"膿屁";"nung1 pi3";"臭屁：屙～。"
"行行耍耍";"行行耍耍";"haang4 haang4 saa2 saa2";"到处闲逛，溜达。"
"行差踏错";"行差踏錯";"haang4 caa1 daap4 co3";"误入歧途，犯错误。"
"猪亲狗戚";"豬親狗戚";"zi1 can1 gau2 cik1";"泛指各种亲戚，无贬义：佢中了五百万之后，乜～到来寻佢。"
"娘妈人";"娘媽人";"noeng1 maa1 njan4";"妇女之辈，女流之辈，常含贬义：你～识咩？"
"靓仔";"靚仔";"leng3 zai2";"帅哥，小伙子。"
"靓妹";"靚妹";"leng3 mui1";"美女。"
"靓女";"靚女";"leng3 ni2";"美女。"
"靓姐";"靚姐";"leng3 ze1";"年龄稍长的美女。"
"靓爆镜";"靚爆鏡";"leng3 baau3 ging3";"形容人极度帅气或漂亮。"
"晒谷";"曬穀";"saai3 guk1";"晾晒稻谷。"
"到㞘";"到㞘";"dau3 duk1";"到达底部，到达尽头：一条路行～。"
"龙船";"龍船";"lung4 sin4";"旧时指大型风帆船，现亦可指大型轮船。"
"死了一橛";"死了一橛";"sli2 liu2 ah1 ket1";"责骂他人粗心大意、不细心，不集中注意力、走神：你～噶？落雨咁大都冇识收衫裤。"
"煎堆";"煎堆";"zin1 dui1";"一种传统岭南小吃，由沾满芝麻的糯粉团配以馅料油炸而成，表皮金黄酥脆得嚟又不失嚼劲，甜而不腻，是过年过节常备的美味。"
"爆枣";"爆棗";"baau3 zaau2";"开口枣的别称。"
"铺仔";"鋪仔";"pu3 zai2";"小卖部，小店。"
"穿鼻";"穿鼻";"cin1 bit4";"给牛鼻子打孔上鼻环。"
"翕妹仔";"翕妹仔";"jak1 mui1 zai2";"撩拨、挑逗女性：咁细就识～啦？"
"翕佢";"翕佢";"jak1 ki3";"言语上诱导他：～买嗰台手机。"
"排时";"排時";"paai4 si4";"最近，近来：~搞乜大生意？"
"片刀";"片刀";"pen3 dau1";"一种薄且长的刀具，常用于打架斗殴。"
"摵球";"摵球";"saak3 kau4";"（乒乓球、羽毛球等运动中）扣球。"
"通水";"通水";"tung1 sui2";"通风报信：有人向对家~。"
"窄脚裤";"窄腳褲";"zaak3 goek3 fu3";"裤脚小的裤子。"
"走飞风";"走飛風";"zau2 fi1 fung1";"仓皇、迅速地逃走:见到城管来，啲小贩~去。"
"走飞蹄";"走飛蹄";"zau2 fi1 tai4";"同“走飞风”。"
"走飞𨭭";"走飛𨭭";"zau2 fi1 ling1";"同“走飞风”。"
"走撒屎";"走撒屎";"zau2 slaat3 si2";"同“走飞风”。"
"姐头";"姐頭";"ze1 tau4";"组织或团伙的女性首领：人家讲佢系新兴街~。"
"芝麻饼";"芝麻餅";"zi1 maa4 beng2";"钦州特色小吃。用白面配以芝麻、糖心烘烤而成，亦称“炕饼”。"
"猪头丙";"豬頭丙";"zi1 tau4 bing2";"骂人蠢的话：你只~！"
"自不自";"自不自";"zi4 bat1 zi4";"同“自冇自”。"
"阻头阻势";"阻頭阻勢";"zo2 tau4 zo2 sai3";"碍手碍脚。"
"做乜";"做乜";"zu3 me1";"①为何：~要打我？②干什么：你在啲~？"
"仲未";"仲未";"zung4 mi4";"尚未：食了咁多~得饱。"
"大黄";"大黃";"daai4 wong4";"鲜黄色。"
"泥黄";"泥黃";"nai4 wong4";"土黄色。"
"飞云驾马";"飛雲駕馬";"fi1 wan4 gaa3 maa2";"急速前往：一听讲有饮，即刻~过去。"
"执生";"執生";"zap1 saang1";"随机应变，引申为照顾自己：我走了，你自己~。"
"执整";"執整";"zap1 zing2";"收拾，整理，打理：只公园~过之后靓好多了。"
"执执整整";"執執整整";"zap1 zap1 zing2 zing2";"收拾、整理，打理：在屋~，一只周末好快就过了。"
"阿侬";"阿儂";"aa3 nung2";"对孩子的昵称。"
"蜎肚";"蜎肚";"lin1 tu2";"肠蠕动过快或肠道痉挛引起的腹部不适：饮了杯二锅头感觉有啲～。"
"搁脚";"擱腳";"kok3 goek3";"把脚架于物体之上：冇得～上枱盘。"
"塞实";"塞實";"slak1 sat4";"堵塞，堵住：水道捱～了。"
"望路";"望路";"mong4 lu4";"观察道路情况：行路要～。"
"弯弓虾";"彎弓蝦";"waan1 gung1 haa1";"蜷曲状态的虾子，又比喻蜷曲侧躺的姿势：佢睡得当一只～咁。"
"开波";"開波";"hoi1 bo1";"球赛开始。"
"田角涡";"田角渦";"tin4 gok3 wo1";"田边水洼。"
"浥尿";"浥尿";"jep3 slui1";"小孩子尿液渗出。"
"曲翘翘";"曲翹翹";"kuk1 keu4 keu4";"歪歪扭扭，不整齐，不平整：佢口牙齿～到。"
"声哑";"聲啞";"seng1 aa2";"声音嘶哑，亦作“声哑哑”。"
"鸡屎藤又长又臭";"雞屎藤又長又臭";"gai1 si2 tang4 jau4 coeng4 jau4 cau3";"比较无实质内容的长篇大论：佢成日开会讲啲~。"
"搉过";"搉過";"kak1 gwo3";"足球运动中扣球过人。"
"掹实实";"掹實實";"mang1 sat4 sat4";"紧紧拉住：街上车多人多，要~妈妈手。"
"掹定";"掹定";"mang1 ding4";"拉住：帮我~佢，冇畀佢走。"
"朦碴碴";"朦碴碴";"mung4 caa4 caa4";"朦胧、模糊：你张相影得~到。"
"殟殟懵懵";"殟殟懵懵";"wan1 wan1 mung2 mung2";"头脑迟钝或健忘：佢老了，成日~。"
"殟懵";"殟懵";"wan1 mung2";"头脑迟钝或健忘。"
"偷角";"偷角";"tau1 gok3";"(足球运动中）射门或（乒乓球、羽毛球等运动中）击球追求刁钻角度：想~讲，结果出界了。"
"死食烂馔";"死食爛饌";"si2 sik4 laan4 zaan4";"拼命地胡吃海喝：佢日日~，而今两百几斤咯！"
"细舅仔";"細舅仔";"slai3 kau2 zai2";"妻子的弟弟，小舅子。"
"𢲈螺";"𢲈螺";"kek3 lo4";"挑螺肉，泛指吃螺：今晚宵晚去~哇？"
"工多手熟";"工多手熟";"gung1 do1 sau2 suk4";"熟能生巧：做多几次你就~噶喇！"
"诈和";"詐和";"zaa3 fu4";"在麻将游戏中，未能满足实现约定或公认的游戏规则中所认可的任一种和牌模式，却宣称自己已经和牌的行为。"
"横身";"橫身";"waang4 san1";"形容人块头大、身体粗壮：我太~了，穿衫冇好睇。"
"三多二少";"三多二少";"slaam1 do1 nji4 siu2";"一点儿，多多少少，形容数量不多但亦不可忽略：食了晚就去摆夜市，搵得~都好啊！"
"化骨龙";"化骨龍";"faa3 gwat1 lung4";"父母对子女的一种称呼，多形容孩子消化能力强，很能吃：冇跟你倾了，我要快啲回去煮晚畀屋己条~食。"
"问准";"問準";"man4 zan2";"问清楚：你未使咁快决定，~正。"
"𫵱自";"𫵱自";"cot4 zi4";"作罢，算了，表示对结果无奈地接受：跟你讲了好多次饮了酒冇开车了，冇听～！"
"帮补";"幫補";"bong1 bu2";"（金钱上）给予支援：你结婚要使咁多钱，屋己人~一啲冇？"
"大支";"大支";"daai4 zi1";"形容人自大、傲慢：佢够~嘅！讲条街啲铺面全部都系佢屋嘅。"
"乌哩单刀";"烏哩單刀";"wu1 li1 daan1 dau1";"一塌糊涂，一团糟：我仔喊一帮同学来屋己耍，搞得到处~到。"
"橙果";"橙果";"caang2 gwo2";"橙子。"
"土扽";"土扽";"tu2 dan3";"土气，老土。"
"戒断";"戒斷";"gaai3 tin2";"戒掉。"
"死正";"死正";"sli2 zing3";"死定了，完蛋了。"
"疏疏";"疏疏";"so1 so1";"稀疏，流量、密度等低：生意冇上冇落，~有几只客。"
"冇上冇落";"冇上冇落";"mau2 soeng2 mau2 lok4";"不上不下，形容进退两难或情况不太坏却也不太好：份工做得~到，未谂准以后要同点。"
"出面";"出面";"cat1 min4";"过分，超出可接受的程度：我本身都冇想搞大件事噶，但佢做得实在太~了！"
"出摊";"出攤";"cat1 taan1";"（摊贩）摆摊做生意：今日天气预报讲落大雨哇，你仲~冇？"
"开摊";"開攤";"hoi1 taan1";"开始做生意：二马路猪脚粉要晚黑正~噶。"
"滑冻";"滑凍";"waat4 dung3";"形容食物爽滑、清凉、柔软有弹性：啲凉粉~嘅，好食哦！"
"同台";"同檯";"tung4 toi4";"同桌。"
"开钱";"開錢";"hoi1 cin4";"付钱：昨晚食饭系边人做~？"
"临时临急";"臨時臨急";"lam4 si4 lam4 gap1";"仓促地，距离时限非常近地：你又冇早啲讲，~要我畀材料我去边啲搵畀你？"
"揸主意";"揸主意";"zaa1 zi2 ji3";"拿主意，做决定：你系大佬，你做~哦！"
"睡懒床";"睡懶牀";"sui4 laan2 cong4";"睡懒觉。"
"一样还一样";"一樣還一樣";"jat1 joeng4 waan4 jat1 joeng4";"就事论事；一码归一码；一件事归一件事,不能混为一谈：~，我跟佢有私人恩怨冇代表我工作上会刁难佢。"
"过节";"過節";"gwo3 zit3";"①庆祝节日：今日七夕，打算同点跟老婆~？②矛盾、纠纷、恩怨等：我跟佢有~，佢去我就冇去喇。"
"表袋";"錶袋";"biu1 doi4";"上衣胸口的口袋，因旧时用来装怀表而得名。"
"把等";"把等";"baa2 dang2";"秉性，底细，弱点：你啲~我识齐喇！"
"摊骨";"攤骨";"taan1 gwat1";"骨头摊（伸展）长，指小孩子开始发育长大：细时候肥朒朒冇关事噶！等大啲~了就自不然瘦噶喇！"
"撑硬颈";"撐硬頸";"caang3 ngaang4 geng2";"不认错，不服输：件事摆明系你错在先，你仲在啲~。"
"白粥";"白粥";"baak4 zuk1";"①没有放佐料的粥；②比喻游戏或比赛中一分未得：跟佢打三局有两局食~，丢架哦！"
"食白粥";"食白粥";"sik4 baak4 zuk1";"吃白粥，比喻游戏或比赛中一分未得：跟佢打三局有两局食~，丢架哦！"
"冲唅唅";"衝唅唅";"cung1 ham4 ham4";"急速奔走，猛冲：一放学佢就~去球场。"
"打电子";"打電子";"daa2 din4 zi2";"玩电子游戏：细时候表哥成日带我去~。"
"挂空档";"掛空檔";"gwaa3 hung1 dong2";"比喻不穿内裤：回南天底裤冇得焦，今日只好~了。"
"光猪";"光豬";"gwong1 zi1";"一点不剩：输~。"
"输光猪";"輸光豬";"si1 gwong1 zi1";"输得精光：昨晚~了，以后都冇赌了。"
"计论";"計論";"gai3 lan4";"计较，在乎：几多就几多啦！冇使~啲嘢。"
"计在";"計在";"gai3 zoi4";"计较，在乎：佢畀几多就几多啦，我都冇~啲嘢。"
"咳欦欦";"咳欦欦";"kat1 kem4 kem4";"形容不停咳嗽的样子：做乜成日~到？要睇医生正得哇！"
"攞啱";"攞啱";"lo2 ngaam1";"迎合，使满意：我去边啲都得，~你。"
"饮歪";"飲歪";"njam2 me4";"接近喝醉或已经喝醉的状态：佢~了，冇畀佢再饮了。"
"饮歪";"飲歪";"njam2 me4";"接近喝醉或已经喝醉的状态：佢~了，冇畀佢再饮了。"
"任拣";"任揀";"njam4 gaan2";"任意挑选：全场十文三件，~。"
"任饮";"任飲";"njam4 njam2";"不加限制，随意喝：间大排档抵哦！一百文啤酒~。"
"铺租";"鋪租";"pu3 zu1";"店面的租金。"
"山长水远";"山長水遠";"saan1 coeng4 sui2 jin2";"路途遥远：~，边人愿去啲耍？"
"十足十";"十足十";"sap4 zuk1 sap4";"百分之百，完完全全：佢真系一条~嘅废柴。"
"新粪坑";"新糞坑";"slan1 fan3 haang1";"比喻新开张的商业场所：啲~一开始好多人抢到去，过一排就冇人了。"
"私人屋";"私人屋";"sli1 njan4 uk1";"私人独栋房屋。"
"淮山";"淮山";"waai4 saan1";"薯蓣（学名：Dioscorea polystachya）的块茎，亦写“怀山”。（图自：https://commons.wikimedia.org/wiki/File:Dioscorea_polystachya_(batatas).jpg）"
"滑鐖";"滑鐖";"waat4 gai1";"机关器械松动而失灵：只火鐖~了，冇打得着了。"
"真实";"真實";"zan1 sat4";"真的，绝对的：~冇呃你噶！冇信你问佢。"
"直直";"直直";"zik4 zik4";"一直顺着：你~行落去就到了。"
"着乜来由";"着乜來由";"zoek4 me1 loi4 jau4";"何必，何苦，亦作“着乜逻由”：佢都冇在乎你，你~咁紧张佢？"
"贪老";"貪老";"taam1 lau2";"显老，样貌比实际年龄显得更衰老：只嘢~哦！我计佢六十几岁了讲，边人识正四十零岁。"
"栏河";"欄河";"laan4 ho4";"护栏，栏杆，一说因“杆”与”干“同音，不吉利，故以”河“代”杆“：二楼条~准备崩了。"
"网球";"網球";"mong2 kau4";"乒乓球、羽毛球、排球等运动中的擦网球。"
"沉船";"沉船";"cam4 sin4";"钦州本地的一种乒乓球玩法，通常在参与人数较多时采用。参赛者分为两队，选一人为“船长”，其余为“船员”，两队球员由“船长”开始逐一对战。“船长”输0:4或“船员”输0:3即“沉船”，“沉船”者下场并失去再上场资格，胜者继续与对方下一名球员对战；在“沉船”前，落后者只需得一分（如1:1,1:2,1:3），便视为安全，双方需同时更换球员重新比赛。未“沉船”者轮流上场，直至任何一方全部球员“沉船”为止。"
"打沉船";"打沉船";"daa2 cam4 sin4";"①打乒乓时玩“沉船”玩法，见“沉船”：咁多人打21分太耐啦，打~好耍啲；②打乒乓球玩“沉船”玩法时一分未得被击败，见“沉船”：佢连续~我哋三只人。"
"一四□";"一四□";"jat1 sli3 gep1";"钦州本地的一种乒乓球玩法。众人先通过比赛或猜拳选出一人做庄，其余人依次向其挑战，称为“考试”。挑战者第一球必须获胜方可继续比赛，第一球未能获胜则需下台换下一名挑战者。挑战者获得继续比赛资格称“考过”或“上台”。挑战者上台后，取得3:0或先得到4分且最少领先两球（4:1,4:2）的一方获胜。如双方打至6:6平局，则需一球定胜负，称为“分公乸”，获胜者为”公“，失败者为”乸“。挑战者挑战成功则成为新的坐庄者。"
"新电打旧电";"新電打舊電";"slan1 din4 daa2 gau4 din4";"钦州本地的一种捉人游戏。玩家分为两方，各选一条柱状物（如电线杆、树木、篮球架等）作为己方大本营，称之为“电”，触碰己方“电”则入营“充电”，离开己方“电”则出营。出营时间较长者为“旧电”，较短者为“新电”，“旧电”被对方“新电”触碰即被俘。双方队员以触碰对方“电”或俘虏对方队员为目标，可视形势不断返回已方大本营“充电”。一方成功触及对方“电”或对方队员全部被俘，即获胜。"
"做木";"做木";"zu3 muk4";"钦州本地一种捉人游戏。一人捉多人逃，逃者可喊“木”自保，但需保持不动并待其他逃者触碰解救，被捉或最末喊“木”者输，成为新捉人者。也简称“木”。"
"规定";"規定";"kwai1 ding4";"一定，肯定：佢敢冇认数，我~冇肯佢噶！"
"法子";"法子";"faat3 zi2";"办法，方法：讲极佢都冇听，我有乜~？"
"风头火势";"風頭火勢";"fung1 tau4 fo2 sai3";"表示一个坏事件正处于热点或趋势，一般用于提示他人要谨慎或小心回避：而今疫情咁严重，~，你都系冇出去耍咁多哦！"
"做媒包生仔";"做媒包生仔";"zu3 mui4 baau1 saang1 zai2";"形容帮人帮得彻底，贴心周到超乎预期：我借车畀佢去抠妹，仲帮佢洗净车、加满油、换座垫、喷香水，真系~。"
"晚仔";"晚仔";"maan2 zai2";"母亲在高龄情况下生育的孩子（通常非第一胎）：佢四十几岁仲生只~，大仔都读大学咯！"
"𠵔";"𠵔";"bom4";"钦州本地一种捉人游戏，通常在篮球场中圈进行。捉人者在圈外，逃者在圈内，双方均不可越界。捉人者可随时喊“𠵔”令所有人（包括自己）停止移动，逃者待捉人者重新行动后方可行动。逃者被捉人者触碰即被俘，需交换位置，成为下一位捉人者。"
"潲油";"潲油";"saau3 jau4";"涂抹油：烧烤要先~。"
"风嘴胶";"風嘴膠";"fung1 zui2 gaau1";"单车气嘴内的橡皮空心胶。"
"哨风㗵㗵";"哨風㗵㗵";"saau3 fung1 fot1 fot1";"形容人不停地吹口哨。"
"教极冇精";"教極冇精";"gaau3 gik4 mau2 zing1";"怎么教也学不会，说了很多次还是犯同样错误。"
"流头浪荡";"流頭浪蕩";"lau4 tau4 long4 dong4";"游手好闲，到处闲逛没有正当职业。"
"孤头寡宿";"孤頭寡宿";"gu1 tau4 gwaa2 sluk1";"孤家寡人，孑然一身的。"
"累堆";"累堆";"lui4 dui1";"①形容人讲话表达不清晰，不易理解：你讲啲嘢咁~，我都冇听得直乜意思；②形容人臃肿、动作迟缓：佢肥了之后~了好多；③形容人冒失，做事不顺利、效果差：够~嘅！喊你帮洗碗又搞烂几只！"
"累累堆堆";"累累堆堆";"lui4 lui4 dui1 dui1";"同“累堆”。"
"老班人";"老班人";"lau2 baan1 njan4";"老一辈的人：~全部都听过只古仔噶！"
"一肚廿四气";"一肚廿四氣";"jat1 tu2 njaa4 sli3 hi3";"满腹怨气：冇识佢乜情况，一回到屋就~到。"
"大办小事";"大辦小事";"daai4 baan4 sliu2 sli4";"指婚嫁丧葬等事情：啲亲亲戚戚平时好少见面，都系~正聚聚|佢冇坐得定噶，有乜~都走去帮手。"
"便衣色";"便衣色";"bin4 ji1 sik1";"灰色。"
"猪肝色";"豬肝色";"zi1 gon1 sik3";"深褐色。"
"六月债，还得快";"六月債，還得快";"luk4 njit4 zaai3 waan4 dak1 faai3";"比喻报复来得快。 旧时农人债务需在秋收之后归还，秋收通常在农历八月，六月借的债，八月转眼就到，因此可以很快偿还：只贼佬抢了人家钱，未走几远就捱车撞了，真系~。"
"丁啱";"丁啱";"ding1 ngaam1";"刚好，碰巧：我在街上~碰到佢。"
"仲发";"仲發";"zung4 faat3";"更加，表示程度更深：你冇想去，我~冇想啊！"
"愈发";"愈發";"ji4 faat3";"越发，更加：你仲喊穷，我~穷哦！"
"落乡";"落鄉";"lok4 hoeng1";"下乡：~搞扶贫。"
"死佬钱";"死佬錢";"sli2 lau2 cin4";"冥币或丧葬、祭奠所用的钱币。"
"难为难得";"難爲難得";"naan4 wai4 naan4 dak1";"用于慨叹自身不易，责备小孩不生性。"
"水滚唅唅";"水滾唅唅";"sui2 gwan2 ham4 ham4";"水流湍急，水势迅猛。"
"禁老";"禁老";"kam1 lau2";"不显老，样貌比实际年龄年轻：几十年冇见你一啲都冇变噶！真系~哦！"
"禁𢴬";"禁𢴬";"kam1 baan3";"耐摔：部手机~哦，跌了几十次，屏幕都冇爆。"
"酸涩";"酸澀";"slin1 gep1";"口感酸涩：啲李子～个。"
"羊扣";"羊扣";"joeng4 kau3";"用羊肉做成的扣肉。"
"能□□";"能□□";"nang4 hot4 hot4";"身体健硕的样子：佢阿公虽然九十几岁了，但睇起身仲～到。"
"公鸡蛋";"公雞蛋";"gung1 gai1 daan4";"公鸡的睾丸。"
"识儃";"識儃";"sik1 taan3";"会享受，生活精致。"
"湿湿肾肾";"溼溼腎腎";"sap1 sap1 san2 san2";"泛指各类内脏：㓥鸡时候啲～冇要丢，攞来炒芹菜蒜最好吃哦。"
"龙凤虎";"龍鳳虎";"lung4 fung4 fu2";"同“龙虎凤”。"
"江虾";"江蝦";"gong1 haa1";"江里生长的虾，亦泛指淡水野生虾。"
"左嘴";"左嘴";"zo2 zui2";"即左口鱼，比目鱼科的一种，人称”比目鱼“。"
"左嘴鱼";"左嘴魚";"zo2 zui2 nji4";"同”左嘴“。"
"花蛤螺";"花蛤螺";"faa1 gaap3 lo4";"官话波纹巴非蛤（学名：Paratapes undulatus），是中国南海著名的海产经济贝类，又称为花甲螺、油蛤或花蚶，隶属于软体动物门，瓣鳃纲，异齿亚纲，帘蛤科，是一种营埋栖生活型双壳贝类，多栖息于低潮区至水深10m 左右的泥沙底中。（图自：https://commons.wikimedia.org/wiki/File:Veneridae_-_Paratapes_undulatus.JPG）"
"波板";"波板";"bo1 baan2";"乒乓球拍。"
"白板";"白板";"baak4 baan2";"①没有贴胶皮的乒乓球拍：佢使~我都冇打得赢佢；②麻将里的一种牌。"
"一晚天光";"一晚天光";"jat1 maan2 tin1 gwong1";"指一整晚的时间过去：昨晚食了晚我仲淋到水，~啲菜捱人家偷齐了。"
"一码过";"一碼過";"jat1 maa2 gwo3";"猜码（划拳）游戏时一码定胜负：~清齐啲酒。"
"见二";"見二";"gin3 nji4";"猜码（划拳）游戏时采用三局两胜定胜负：~半杯。"
"猜一年";"猜一年";"caai1 jat1 nin4";"猜码（划拳）游戏时一共猜12码：耐冇跟你饮过了，~啊嗱！"
"猜半年";"猜半年";"caai1 bun3 nin4";"猜码（划拳）游戏时一共猜6码：猜一年太多了，~得了。"
"车轮战";"車輪戰";"ce1 lan4 zin3";"玩猜码（划拳）等游戏时一个人轮流和多个人比赛：佢都力哦，~打了几圈都未醉。"
"龙虎凤";"龍虎鳳";"lung4 fu2 fung4";"蛇、猫肉、鸡（鸟）等一起烹饪做成的菜。"
"搛食搛食";"搛食搛食";"gem1 sik4 gem1 sik4";"不停的夹菜吃：大家未开始喐筷，佢自己就在啲～到。"
"𧿔筷";"𧿔筷";"njuk1 faai3";"动筷子吃饭。"
"桷子";"桷子";"gok3 zi2";"传统民宅中，密排桁上，与桁正交，支持屋顶盖材料的构件。"
"桁条";"桁條";"haang4 tiu4";"传统民宅用来挑起椽子,做成屋顶的横木,是房子的主要构件之一。"
"开米";"開米";"hoi1 mai2";"煮粥或稀饭的时候，米粒煮开花，将近可以出锅的状态。"
"妆整";"妝整";"zong1 zing2";"衣着打扮：出人见众，要注意～。"
"颈长长";"頸長長";"geng2 coeng4 coeng4";"伸长脖子：小明你～到做乜？想偷睇人家试卷系冇？"
"佮到";"佮到";"gaap3 dau3";"勾搭上，结交，多含贬义：小明从细～啲流氓散仔，旧年因为偷嘢捱判刑了。"
"偷嘢";"偷嘢";"tau1 nje2";"偷东西，盗窃。"
"杠拳";"槓拳";"gong3 kyun4";"两拳相击。"
"中山子";"中山子";"zung1 saan1 zi2";"又“浆山子”，中文落葵（学名：Basella alba、Basella rubra），一种一年生缠绕草木植物，其汁液呈紫红色：~叶煮汤，清热解毒。"
"打大机";"打大機";"daa2 daai4 gi1";"玩街机游戏。"
"夺味";"奪味";"dit4 mi4";"盖过（食物）主要的味道：只炖鸡放了太多香料，反而~了。"
"扱盖";"扱蓋";"kap1 goi3";"盖上盖子。"
"啱心";"啱心";"ngaam1 slam1";"称心如意，合心意，亦作“啱心水”：架车你~咩？|噉子做啱你心未？"
"上墈";"上墈";"soeng2 ham3";"上陡坡，爬坡。"
"白雾水鸡";"白霧水雞";"baak4 mu4 sui2 gai1";"学名白胸苦恶鸟，属于鹤形目秧鸡科的鸟类。"
"黄脚象";"黃腳象";"wong4 goek3 zoeng4";"黑盾胡蜂。"
"竹筒蜂";"竹筒蜂";"zuk1 tung4 fung1";"竹蜂，身体及足部密被黑色绒毛，常栖于竹类的茎秆中。"
"罂蜂";"罌蜂";"eng1 fung1";"一种胡蜂，毒性较强，其巢如罂，故而得名。"
"沙鸡";"沙雞";"saa1 gai1";"蚁狮，为脉翅目蚁蛉科蚁狮属下的动物，其幼虫常在沙质土里造成漏斗状陷阱以用来诱捕猎物。"
"𫋐身";"𫋐身";"gung3 san1";"起床，起来：你～咁早做乜？"
"爬𫋐身";"爬𫋐身";"paa4 gung3 san1";"起床，起来：凌晨三点钟～睇球。"
"大车";"大車";"daai4 ce1";"大型汽车：见到～行远啲。"
"𫵱緪";"𫵱緪";"cot4 gang1";"阴茎勃起。"
"生淋";"生淋";"saang1 lam4";"任凭雨淋，冒雨：昨日冇记得带遮，～回来，今日感冒了。"
"眼见";"眼見";"ngaan2 gin3";"有目共睹的，显而易见的：～啲有只坑你都要趻落去。"
"做好";"做好";"zu3 hau2";"完工，完成：你套屋噶装修～未？"
"死力工";"死力工";"sli2 lik4 gung1";"体力活，体力劳动。"
"漦手";"漦手";"saan4 sau2";"手感粘滑。"
"打死大交";"打死大交";"daa2 sli2 daai4 geu1";"大打出手：两兄弟～。"
"搛𠯋搛𠯋";"搛𠯋搛𠯋";"gem1 he2 gem1 he2";"一个劲地夹菜：菜啱啱上台佢就～，一当有人跟佢抢食咁。"
"穷尸饿鬼";"窮屍餓鬼";"kung4 si1 ngo4 gwai2";"饿殍，生活窘迫到了极点的人。"
"鲜桃";"鮮桃";"slin1 tau4";"蒲桃。"
"钦州猪脚粉，神仙也打滚";"欽州豬腳粉，神仙也打滾";"ham1 zau1 zi1 goek3 fan2,san4 slin1 jaa2 daa2 gwan2";"钦州谚语，表达钦州猪脚粉的美味和钦州人民对猪脚粉的钟爱。"
"大肉云吞";"大肉雲吞";"daai4 njuk4 wan4 tan1";"个头较大，肉馅丰富的云吞。"
"咸萝卜";"鹹蘿蔔";"haam4 lo4 baak4";"腌制的萝卜干。"
"苦丁茶";"苦丁茶";"fu2 ding1 caa4";"浦北福旺出产的一种稀有名贵茶叶。"
"打靶场";"打靶場";"daa2 baa2 coeng4";"执行枪决的刑场。"
"东纸";"東紙";"dung1 zi2";"民国时期广东省发行的货币的俗称。"
"芝麻石";"芝麻石";"zi1 maa4 sek4";"芝麻灰花岗岩。"
"咬熟";"咬熟";"ngaau2 suk4";"形容被蚊虫叮咬得很严重：昨晚冇落蚊帐，捱蚊虫～去。"
"抵理";"抵理";"dai2 li2";"值得，合算：帮佢颠倒捱佢闹，真系冇~哦。"
"咄唅唅";"咄唅唅";"det3 ham4 ham4";"呵斥，厉声斥责：好好捞佢讲，佢~到。"
"解药";"解藥";"gaai2 joek4";"削弱药物疗效的：啱啱食了药冇要饮茶，~噶。"
"神憎鬼厌";"神憎鬼厭";"san4 zang1 gwai2 jim3";"连鬼神都讨厌，形容十分让人憎恨讨厌"
"凐笪笪";"凐笪笪";"jan1 daat3 daat3";"形容气温或物体冰冷的：食咁多~噶嘢做乜？"
"教精";"教精";"gaau3 zing1";"教授别人技巧或应对之策。"
"欶焦";"欶焦";"sok3 zaau1";"水分被物体吸收。"
"欶竭";"欶竭";"sok3 gat4";"粥、面等食物汤水减少，变得粘稠。"
"热𦢊";"熱𦢊";"njit4 buk4";"痱子或热疖"
"汗流汁滴";"汗流汁滴";"hon4 lau4 zap1 dik1";"满头大汗，汗流浃背：你去边啲舞得～到。"
"谷种";"谷種";"guk1 zung2";"水稻种子。"
"罯罯噉上";"罯罯噉上";"ap1 ap1 gam2 soeng2";"蜂拥而上。"
"长毛贼";"長毛賊";"coeng4 maau4 caak4";"留长发的男子，多指头发长了却不肯剪发的小孩。"
"屙屁散场";"屙屁散場";"o1 pi3 slaan3 coeng4";"对无聊、冗长的集体活动终于结束的戏谑。"
"簕沟港";"簕溝港";"laak4 gau1 gong2";"钦州港之旧称。"
"龙门港";"龍門港";"lung4 mun4 gong2";"位于钦州湾西侧、龙门岛东南端的一个小型港口。"
"渔洪江";"漁洪江";"nji4 hung4 gong1";"又作“如洪江”，钦州茅岭江之旧称。"
"平银江";"平銀江";"ping4 ngan4 gong1";"大风江东北段流经钦州平银渡一带的河段古称平银江。"
"大观港";"大觀港";"daai4 gun2 gong2";"大风江之旧称。"
